title,price,in_stocks,sku,category,description,product_image_link,additional_info,product_link,scrape_ts
Balboa Persistence Tee,£29.00,,MS03,Tees,"The Balboa Persistence Tee is a must-have for any athlete, Philadelphia or elsewhere. We took the best of performance apparel, cut the fluff and boiled it down to the basics for a lightweight, quick-drying t-shirt.
• Crew neckline.• Semi-fitted.• Cocona® performance fabric.• Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms03-black_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Gray, Green, Orange'}",https://gopher1.extrkt.com/?product=balboa-persistence-tee,2024-02-04 19:55:16
Bardot Capri,£48.00,,WP08,Pants|Clothing,"Black is back — was it ever gone? — which means all your favorite tops will get along with the comfortable and versatile Bardot Capri.
• Black capris with pink waistband.• Cropped leggings.• Waistband drawcord.• Flat, thin and flattering.• Made with organic fabric.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp08-black_main.jpg,"{'Size': '28, 29', 'Color': 'Black, Green, Red'}",https://gopher1.extrkt.com/?product=bardot-capri,2024-02-04 19:55:18
Beaumont Summit Kit,£42.00,,MJ01,Jackets,"The smooth nylon shell around the Beaumont Summit Kit combats wind, reinforced with a cold-fighting brushed fleece layer. The jacket is reversible, giving you a new look for the return trek. Ample pocket space rounds out this hiker’s paradise package.
• Yellow full zip rain jacket.• Full-zip front.• Stand-up collar.• Elasticized cuffs.• Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/mj01-yellow_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Orange, Red, Yellow'}",https://gopher1.extrkt.com/?product=beaumont-summit-kit,2024-02-04 19:55:20
Bella Tank,£29.00,,WT01,Eco Friendly|Clothing,"Style, performance and comfort mix it up in the Bella Tank. With striking color block contrast, fitted form and a built-in bra, you’ll be supported and stylish at the same time.
• Navy blue tank top – cotton.• Feminine scoop neckline.• Power mesh lining in shelf bra for superior support.• Soft, breathable fabric.• Dry wick fabric to stay cool and dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wt01-blue_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Black, Blue, Orange'}",https://gopher1.extrkt.com/?product=bella-tank,2024-02-04 19:55:22
Bess Yoga Short,£28.00,,WSH05,Women Sale|Clothing,"Designed for intense physical activity – think bikram – our Bess Yoga Short features moisture-wicking, four-way stretch fabric that lets you move in every which way. A vented gusset adds breathability and range of motion.
• Navy cotton shorts with light bue waist detail.• Front shirred waistband.• Flat-lock, chafe-free side seams.• Vented gusset.• Hidden interior pocket.• Sustainable and recycled fabric.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh05-blue_main.jpg,"{'Size': '28, 29, 30, 31, 32', 'Color': 'Blue, Purple, Yellow'}",https://gopher1.extrkt.com/?product=bess-yoga-short,2024-02-04 19:55:24
Bolo Sport Watch,£49.00,100 in stock,24-WG01,Watches,"The Bolo Sport Watch is sleek, sporty and sized just right to fit your smaller wrist. Easy to read and set up, it features a large digital face and button-activated alarm and stopwatch. The soft-touch resin band promises no-pinch comfort, while the water-resistant design lets you take your workout to the lap pool.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wg01-bk-0.jpg,"{'Activity': 'Recreation, Sports', 'Gender': 'Women', 'Material': 'Silicone'}",https://gopher1.extrkt.com/?product=bolo-sport-watch,2024-02-04 19:55:27
Breathe-Easy Tank,£34.00,,WT09,Erin Recommends|Clothing,"The Breathe Easy Tank is so soft, lightweight, and comfortable, you won’t even know it’s there — until its high-tech Cocona® fabric starts wicking sweat away from your body to help you stay dry and focused. Layer it over your favorite sports bra and get moving.
• Machine wash/dry.• Cocona® fabric.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wt09-white_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Purple, White, Yellow'}",https://gopher1.extrkt.com/?product=breathe-easy-tank,2024-02-04 19:55:30
Bruno Compete Hoodie,£63.00,,MH03,Eco Friendly|Clothing,"Stay comfortable and stay in the race no matter what the weather’s up to. The Bruno Compete Hoodie’s water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.
• Full zip black hoodie pullover.• Adjustable drawstring hood.• Ribbed cuffs/waistband.• Kangaroo pocket.• Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh03-black_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Black, Blue, Green'}",https://gopher1.extrkt.com/?product=bruno-compete-hoodie,2024-02-04 19:55:33
Caesar Warm-Up Pant,£35.00,,MP01,Pants|Clothing,"Command your workout and keep your muscles limber in the Caesar Warm-Up Pant. Engineered CoolTech™ fabric wicks away moisture so you don’t have to worry about sweat and discomfort. The drawstring-adjustable waist helps make sure your pants fit properly.
• Light gray heather knit straight leg pants.• Relaxed fit.• Inseam: 32″.• Machine wash/dry.• CoolTech™ wicking fabric.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/mp01-gray_main.jpg,"{'Size': '32, 33, 34, 36', 'Color': 'Black, Gray, Purple'}",https://gopher1.extrkt.com/?product=caesar-warm-up-pant,2024-02-04 19:55:35
Carina Basic Capri,£51.00,,WP09,Pants|Clothing,"Perfect as workout pants or “accessory,” the Carina Basic Capri is comfy as it is practical — try it under skirts or shorts.
• Black capris with rouching detail.• 93% cotton, 7% spandex.• Elasticized waistband.• Reinforced seams with exposed topstitching.• Soft, medium-weight jersey with added stretch.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp09-black_main.jpg,"{'Size': '28, 29', 'Color': 'Black, Blue, Purple'}",https://gopher1.extrkt.com/?product=carina-basic-capri,2024-02-04 19:55:37
Cassia Funnel Sweatshirt,£48.00,,WH08,Performance Fabrics|Clothing,"The casual Cassia Funnel Sweatshirt sports front angled pockets and a drawstring stretch funnel hoodie. A cowl front neck pairs with a tagless label at back neck.
• White full zip hoodie with gray detail.• 65% Cotton/28% Nylon/7% Spandex.• Front slash pockets.• Tagless label at back neck.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh08-white_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Orange, Purple, White'}",https://gopher1.extrkt.com/?product=cassia-funnel-sweatshirt,2024-02-04 19:55:38
Cassius Sparring Tank,£18.00,,MT12,Tanks,"Whether you’re up against a partner or the clock, the Cassius Sparring Tank is in your corner, moving effortless with your body. The light and loose feel gives you no reason to give up before the bell or the end of the block.
• Royal crewneck cotton tank.• Contrast stitching.• Self fabric binding at neckline.• Slim fit.• 96% Merino / 4% LYCRA®.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/mt12-blue_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Blue'}",https://gopher1.extrkt.com/?product=cassius-sparring-tank,2024-02-04 19:55:40
Celeste Sports Bra,£39.00,,WB03,Performance Fabrics|Clothing,"Whatever your goals for the day’s workout, the Celeste Sports Bra lets you do it in comfort and coolness, plus enhanced support and shaping. A power mesh back zone and moisture-wicking fabric ensure you stay dry.
• Mint bra top.• Seam-free interior molded cups• Odor control.• UV protection.• Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wb03-green_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Green, Red, Yellow'}",https://gopher1.extrkt.com/?product=celeste-sports-bra,2024-02-04 19:55:43
Chaz Kangeroo Hoodie,£52.00,,MH01,Eco Friendly|Clothing,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.
• Two-tone gray heather hoodie.• Drawstring-adjustable hood.• Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh01-gray_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Black, Gray, Orange'}",https://gopher1.extrkt.com/?product=chaz-kangeroo-hoodie,2024-02-04 19:55:44
Chloe Compete Tank,£39.00,,WT06,Bras & Tanks,"You’ve earned your figure, so stay cool and let it do all the talking in the form-fitted, sleek racerback Chloe Compete Tank. Designed for total range of motion and performance, the Nona is made with highly breathable mesh fabric.
• Royal blue tank top – nylon/spandex.• Flatlock stitching.• Moisture-wicking fabric.• Ergonomic seaming.• Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wt06-blue_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Blue, Red, Yellow'}",https://gopher1.extrkt.com/?product=chloe-compete-tank,2024-02-04 19:55:47
Circe Hooded Ice Fleece,£68.00,,WH12,Performance Fabrics|Clothing,"Keep shivers at bay with the Circe Hooded Ice Fleece. Ultra-thick, high-pile fleece traps your body heat and keeps cold outside. The drawstring hood and ribbed details add extra coziness and touches of classic style. Its relaxed fit is loose enough to layer comfortably over your shirt.
Full-zip front.Three-panel hood.Flatlock seams throughout.Welt hand pockets.Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh12-gray_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Gray, Green, Purple'}",https://gopher1.extrkt.com/?product=circe-hooded-ice-fleece,2024-02-04 19:55:49
Clamber Watch,£54.00,100 in stock,24-WG03,Watches,"Keep track of time on the treadmill or trail with our Clamber Watch. The flexible, rubberized strap is contoured to conform to your wrist for a comfortable fit all day. The face features an illuminated digital read-out of the current time and stopwatch functions.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wg03-gr-0.jpg,"{'Activity': 'Recreation, Athletic, Outdoor, Gym', 'Gender': 'Women', 'Material': 'Plastic, Rubber, Silicone'}",https://gopher1.extrkt.com/?product=clamber-watch,2024-02-04 19:55:50
Cobalt CoolTech™ Fitness Short,£44.00,,MSH01,Erin Recommends|Clothing,"It’s not rocket surgery: the hotter your conditions, the more you need to stay cool. That’s why the Cobalt CoolTech™ Fitness Short features built-in technology and side perforations that keep you ventilated and comfortable for the distance. The elastic waist promises a personalized fit.
• Light blue nylon shorts.• Relaxed fit.• 5″ inseam.• Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/msh01-blue_main.jpg,"{'Size': '32, 33, 34, 36', 'Color': 'Black, Blue, Red'}",https://gopher1.extrkt.com/?product=cobalt-cooltech-fitness-short,2024-02-04 19:55:53
Compete Track Tote,£32.00,100 in stock,24-WB02,Bags,"The Compete Track Tote holds a host of exercise supplies with ease. Stash your towel, jacket and street shoes inside. Tuck water bottles in easy-access external spaces. Perfect for trips to gym or yoga studio, with dual top handles for convenience to and from.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wb02-green-0.jpg,"{'Activity': 'Gym, School, Yoga', 'Pattern': 'Solid', 'Material': 'Nylon, Polyester, Rayon', 'Strap': 'Adjustable, Double, Shoulder', 'Style': 'Exercise, Tote'}",https://gopher1.extrkt.com/?product=compete-track-tote,2024-02-04 19:55:56
Cora Parachute Pant,£75.00,,WP04,Pants|Clothing,"Good for running, hiking, lounging or stretching, the Cora Parachute Pant presents comfortable styling designed to help you look and feel great.
• Light blue parachute pants.• Power mesh internal waistband for support.• Internal waistband pocket.• Antimicrobial finish.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp04-blue_main.jpg,"{'Size': '28, 29', 'Color': 'Black, Blue, White'}",https://gopher1.extrkt.com/?product=cora-parachute-pant,2024-02-04 19:55:58
Cronus Yoga Pant,£48.00,,MP12,Pants|Clothing,"Guys who love yoga love this all-purpose yoga pant. Designed for yoga, gym and lounge, the Cronus Yoga Pant is a loose-fitting, classic-style pant made from a lightweight blend of cotton, recycled polyester and a touch of Spandex for the stretch factor.
• Drawstring waist.• Loose, straight-leg fit.• Lightweight cotton-recycled blend.• Front pockets with stitching detail.• Elastic ankle.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/mp12-black_main.jpg,"{'Size': '32, 33, 34, 36', 'Color': 'Black, Blue, Red'}",https://gopher1.extrkt.com/?product=cronus-yoga-pant,2024-02-04 19:56:00
Crown Summit Backpack,£38.00,100 in stock,24-MB03,Bags,"The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/mb03-black-0.jpg,"{'Activity': 'Gym, Hiking, Overnight, School, Trail, Travel, Urban', 'Pattern': 'Solid', 'Material': 'Nylon, Polyester', 'Strap': 'Adjustable, Double, Padded', 'Style': 'Backpack'}",https://gopher1.extrkt.com/?product=crown-summit-backpack,2024-02-04 19:56:04
Cruise Dual Analog Watch,£55.00,100 in stock,24-MG05,New Luma Yoga Collection,"Whether you’re traveling or wish you were, you’ll never let time zones perplex you again with the Cruise Dual Analog Watch. The thick, adjustable band promises a comfortable, personalized fit to this classy, modern time piece.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/mg05-br-0.jpg,"{'Activity': 'Recreation', 'Gender': 'Men', 'Material': 'Leather, Plastic'}",https://gopher1.extrkt.com/?product=cruise-dual-analog-watch,2024-02-04 19:56:06
Daphne Full-Zip Hoodie,£59.00,,WH06,Hoodies & Sweatshirts,"The Daphne Hoodie is an attractive yet rugged layering or outer piece, especially for chilly days en route the studio, doing yardwork or enjoying outdoor recreation.
• Purple full zip hoodie with pink accents.• Heather texture.• 4-way stretch.• Pre-shrunk.• Hood lined in vegan Sherpa for added warmth.• Ribbed hem on hood and front pouch pocket.• 60% Cotton / 40% Polyester.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh06-purple_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Purple'}",https://gopher1.extrkt.com/?product=daphne-full-zip-hoodie,2024-02-04 19:56:09
Daria Bikram Pant,£51.00,,WP10,Eco Friendly|Clothing,"The Daria Bikram Pant is designed to stretch and move with your body to make extreme yoga extremely comfortable.
• Heather gray capris with pink striped waist.• Flatlock seams.• Interior pocket.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp10-gray_main.jpg,"{'Size': '28, 29', 'Color': 'Black, Gray, White'}",https://gopher1.extrkt.com/?product=daria-bikram-pant,2024-02-04 19:56:11
Dash Digital Watch,£92.00,100 in stock,24-MG02,New Luma Yoga Collection,"The Dash Digital Watch will challenge you to push harder and longer. Log workouts by date, average, and segment times, and recharge by setting hydration and nutrition alarms. This watch is styled with a sleek, square face and durable rubber strap for a long life.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/mg02-bk-0.jpg,"{'Activity': 'Athletic, Sports, Outdoor, Gym', 'Gender': 'Men', 'Material': 'Rubber'}",https://gopher1.extrkt.com/?product=dash-digital-watch,2024-02-04 19:56:14
Deion Long-Sleeve EverCool™ Tee,£39.00,,MS07,Tees,"When you’re training, ordinary tees don’t cut it. That’s why the Dion Long-Sleeve EverCool™ Tee features revolutionary Cocona® fabric derived from a renewable resource: coconut shells. This unique material protects you from harmful UV rays, wicks away sweat, controls stink and dries quickly.
• Fitted.• Contrast inner neck tape.• Machine wash/dry.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms07-green_main.jpg,"{'Size': 'XS, S, M, L, XL', 'Color': 'Black, Green, White'}",https://gopher1.extrkt.com/?product=deion-long-sleeve-evercool-tee,2024-02-04 19:56:16
Deirdre Relaxed-Fit Capri,£63.00,,WP12,Performance Fabrics|Clothing,"Invigorate your yoga practice with this Deirdre Relaxed-Fit Capri, designed to let you move without strain or restriction.
• Heather gray capris with mint green waist & accents.• Comfortable, relaxed fit with high rise.• Moisture-wicking, 4-way stretch construction.• Lined with mesh for better support.• Hidden pocket at waistband.• Flatlock seams and lined gusset for comfort.",https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp12-gray_main.jpg,"{'Size': '28, 29', 'Color': 'Blue, Gray, Green'}",https://gopher1.extrkt.com/?product=deirdre-relaxed-fit-capri,2024-02-04 19:56:18
